SONG-NAME,MOOD,LANGUAGE,AUDIO_LINK,VIDEO_LINK,AUDIO_ID,VIDEO_ID
Kesariya,Happy,Hindi,https://drive.google.com/file/d/1_XhJgas2gGf27P4imH9vCbZOqD_2JNWk/view?usp=sharing,https://youtu.be/BddP6PYo2gs,1_XhJgas2gGf27P4imH9vCbZOqD_2JNWk,BddP6PYo2gs
Filhaal,Sad,Hindi,https://drive.google.com/file/d/1wHvVPdJvlM85ZU0nY6yQjOdWRX0NIrLE/view?usp=share_link,https://youtu.be/hMy5za-m5Ew,,
soch na sake,Sad,Hindi,https://drive.google.com/file/d/1NCxml-gwJe6YpvwC0W34gESv2Q97wc7W/view?usp=share_link,https://youtu.be/MRtRcTfszjY,,
kala chashma,Happy,Hindi,https://drive.google.com/file/d/1KS0ZS-FhvoUb_emkTSJ0t-tbh5gVU7M6/view?usp=share_link,https://youtu.be/k4yXQkG2s1E,,
bhekayali,Sad,Hindi,https://drive.google.com/file/d/1zRY2C0OYeB-w8jXnQZgGmyDQgVqlcWGp/view?usp=share_link,https://youtu.be/VOLKJJvfAbg,,
dil ko karaar aaya,Sad,Hindi,https://drive.google.com/file/d/134Sa5Fm_3RnJtfE_Q3Ohaqka58RRrp64/view?usp=share_link,https://youtu.be/lX3vT_Gm_HE,,
badtameez dil,Happy,Hindi,https://drive.google.com/file/d/1kqjhmjiYQqKvQHdEtzXaNGZM1aSvMYUx/view?usp=share_link,https://youtu.be/II2EO3Nw4m0,,
sanam re,Sad,Hindi,https://drive.google.com/file/d/1IT9p8DIJiOdPW1ZhI4ewbTNF_eJzM0qr/view?usp=share_link,https://youtu.be/DS-raAyMxl4,,
channa mereya,Sad,Hindi,https://drive.google.com/file/d/1R77VZ1YcJvEykGuH-mOHcF8lxmVWgenG/view?usp=share_link,https://youtu.be/284Ov7ysmfA,,
lungi dance,Happy,Hindi,https://drive.google.com/file/d/1GfFMoGQARVVIZq2mvwP-vzK9j2-x7aGs/view?usp=share_link,,,
ladki aankh maare,Happy,Hindi,https://drive.google.com/file/d/17NW3KftuIfmRpt10DRyBTm7FC2s1YJ6b/view?usp=share_link,,,
butta bomma,Happy,Telugu,https://drive.google.com/file/d/1JFbLcs_76IRHaYlJ1gJ0TR9SZJJXOYRU/view?usp=share_link,,,
emai poyave,Sad,Telugu,https://drive.google.com/file/d/1wo1F7_5w-wLlTnKTuFq6kviJZxbU9uO2/view?usp=share_link,,,
yetu pone,Sad,Telugu,https://drive.google.com/file/d/1w4T_4tTDKCQl9vHJO5DCfVLKIIKI6K7K/view?usp=share_link,,,
Dj tillu title song,Happy,Telugu,https://drive.google.com/file/d/1wSLHPLjKNZcluwYDP6elr_rHPEO1AMF9/view?usp=share_link,,,
Arabic kuthu,Happy,Telugu,https://drive.google.com/file/d/1HC8UWsnkW-iewotHl0sGM7Ff3M5zhrTf/view?usp=share_link,,,
Adiga Adiga,Sad,Telugu,https://drive.google.com/file/d/1SGFR8PgznNRPkeUbkV0ObvDcHLJkyZpx/view?usp=share_link,,,
Thaar maar thakar maar,Happy,Telugu,https://drive.google.com/file/d/1cgsKQZu5GlmXsbRKWWn3TQIKz3m9GuhZ/view?usp=share_link,,,
Why this kolaveri,Sad,Telugu,https://drive.google.com/file/d/13tpRU-PcA_RkZNKn4_BfI4cO1Wqzf64Q/view?usp=share_link,,,
Saami,Happy,Telugu,https://drive.google.com/file/d/1zLrdrIWnakvkms3u1nZ2J-GVUpve-S6_/view?usp=share_link,,,
Teliseney Na Nuvve,Sad,Telugu,https://drive.google.com/file/d/1QOCQk6McGGdeOyoxNVf1e4g6hQ9fA3l7/view?usp=share_link,,,
Adiye,Happy,Tamil,https://drive.google.com/file/d/1G42rcC-QHdh_Qj8gqM1taCO-z2X9sVRn/view?usp=share_link,,,
Megham karukatha,Happy,Tamil,https://drive.google.com/file/d/191Jx8F_9Zc9XkArS1nmuV7XE97I1f_TD/view?usp=share_link,,,
Kadhal yen kaviye,Happpy,Tamil,https://drive.google.com/file/d/1fz07mHPtevQtlWqvowD5GyLMqGqkZnYE/view?usp=share_link,,,
Donu Donu,Happy,Tamil,https://drive.google.com/file/d/1Q2wlsx5oWqQNqB4hvj7oh8_sryvHDPnW/view?usp=share_link,,,
Thenmozhi,Sad,Tamil,https://drive.google.com/file/d/1-nPtQTz427I-sVNc4wNvTq4YBepycGlH/view?usp=share_link,,,
Po nee po,Sad,Tamil,https://drive.google.com/file/d/1DzbhKmwIR6Kbs439zqrLzUVjQQ8-2YAb/view?usp=share_link,,,
Uyire,Happy,Tamil,https://drive.google.com/file/d/1NSvswlxDAmlx-8XoRvCXgMn2oP4UaYWR/view?usp=share_link,,,
Maruvarthai,Sad,Tamil,https://drive.google.com/file/d/1VaUR7vmvrp31Mt2wx04FRCQx_7OtyspV/view?usp=share_link,,,
Yaen ennai perendhai,Sad,Tamil,https://drive.google.com/file/d/16LyoaP1CsRxdarEXpQqw9VbI_tm3vUw7/view?usp=share_link,,,
Nanideni januma,Sad,Tamil,https://drive.google.com/file/d/17xPqRRIuTzN8mRutpSUsypFZ7KTFkqKy/view?usp=share_link,,,